"No.","Time","Source","Destination","Protocol","Length","Info"
"4058","29.910740","104.44.200.242","192.168.10.162","UDP","501","3480  >  35920 Len=459"
"4059","29.910740","104.44.200.242","192.168.10.162","UDP","117","3480  >  35920 Len=75"
"4060","29.910746","104.44.200.242","192.168.10.162","UDP","118","3480  >  35920 Len=76"
"4061","29.910747","104.44.200.242","192.168.10.162","UDP","208","3480  >  35920 Len=166"
"4062","29.910748","104.44.200.242","192.168.10.162","UDP","1021","3480  >  35920 Len=979"
"4063","29.910749","104.44.200.242","192.168.10.162","UDP","1021","3480  >  35920 Len=979"
"4064","29.910750","104.44.200.242","192.168.10.162","UDP","341","3480  >  35920 Len=299"
"4065","29.910751","104.44.200.242","192.168.10.162","UDP","341","3480  >  35920 Len=299"
"4066","29.910751","104.44.200.242","192.168.10.162","UDP","1037","3480  >  35920 Len=995"
"4067","29.910752","104.44.200.242","192.168.10.162","UDP","115","3480  >  35920 Len=73"
"4068","29.910753","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4069","29.910754","104.44.200.242","192.168.10.162","UDP","264","3480  >  35920 Len=222"
"4070","29.910755","104.44.200.242","192.168.10.162","UDP","108","3480  >  35920 Len=66"
"4071","29.910756","104.44.200.242","192.168.10.162","UDP","116","3480  >  35920 Len=74"
"4072","29.910756","104.44.200.242","192.168.10.162","UDP","897","3480  >  35920 Len=855"
"4073","29.910757","104.44.200.242","192.168.10.162","UDP","897","3480  >  35920 Len=855"
"4074","29.910758","104.44.200.242","192.168.10.162","UDP","368","3480  >  35920 Len=326"
"4075","29.910759","104.44.200.242","192.168.10.162","UDP","368","3480  >  35920 Len=326"
"4076","29.910760","104.44.200.242","192.168.10.162","UDP","913","3480  >  35920 Len=871"
"4077","29.910761","104.44.200.242","192.168.10.162","UDP","503","3480  >  35920 Len=461"
"4078","29.911720","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4079","29.911721","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4080","29.911722","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4081","29.913245","104.44.200.242","192.168.10.162","UDP","1038","3480  >  35920 Len=996"
"4082","29.913247","104.44.200.242","192.168.10.162","UDP","334","3480  >  35920 Len=292"
"4083","29.913248","104.44.200.242","192.168.10.162","UDP","1054","3480  >  35920 Len=1012"
"4084","29.913249","104.44.200.242","192.168.10.162","UDP","120","3480  >  35920 Len=78"
"4085","29.913250","104.44.200.242","192.168.10.162","UDP","472","3480  >  35920 Len=430"
"4086","29.913251","104.44.200.242","192.168.10.162","UDP","114","3480  >  35920 Len=72"
"4092","29.986002","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4093","29.986230","104.44.200.242","192.168.10.162","UDP","1089","3480  >  35920 Len=1047"
"4094","29.986230","104.44.200.242","192.168.10.162","UDP","1088","3480  >  35920 Len=1046"
"4095","29.986231","104.44.200.242","192.168.10.162","UDP","334","3480  >  35920 Len=292"
"4096","29.986231","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4097","29.986231","104.44.200.242","192.168.10.162","UDP","333","3480  >  35920 Len=291"
"4098","29.988356","104.44.200.242","192.168.10.162","UDP","1105","3480  >  35920 Len=1063"
"4099","29.988359","104.44.200.242","192.168.10.162","UDP","334","3480  >  35920 Len=292"
"4100","29.988360","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4101","29.988360","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4102","29.988360","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4103","29.988360","104.44.200.242","192.168.10.162","UDP","897","3480  >  35920 Len=855"
"4104","29.988365","104.44.200.242","192.168.10.162","UDP","897","3480  >  35920 Len=855"
"4105","29.988366","104.44.200.242","192.168.10.162","UDP","896","3480  >  35920 Len=854"
"4106","29.988367","104.44.200.242","192.168.10.162","UDP","455","3480  >  35920 Len=413"
"4107","29.988369","104.44.200.242","192.168.10.162","UDP","455","3480  >  35920 Len=413"
"4108","29.988370","104.44.200.242","192.168.10.162","UDP","913","3480  >  35920 Len=871"
"4109","29.988372","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4110","29.988373","104.44.200.242","192.168.10.162","UDP","122","3480  >  35920 Len=80"
"4111","29.988374","104.44.200.242","192.168.10.162","UDP","1126","3480  >  35920 Len=1084"
"4112","30.002301","104.44.200.242","192.168.10.162","UDP","1125","3480  >  35920 Len=1083"
"4113","30.002301","104.44.200.242","192.168.10.162","UDP","117","3480  >  35920 Len=75"
"4115","30.008271","104.44.200.242","192.168.10.162","UDP","430","3480  >  35920 Len=388"
"4120","30.044581","104.44.200.242","192.168.10.162","UDP","1046","3480  >  35920 Len=1004"
"4122","30.047302","104.44.200.242","192.168.10.162","UDP","1046","3480  >  35920 Len=1004"
"4123","30.047304","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4124","30.047304","104.44.200.242","192.168.10.162","UDP","140","3480  >  35920 Len=98"
"4125","30.047304","104.44.200.242","192.168.10.162","UDP","1044","3480  >  35920 Len=1002"
"4126","30.047305","104.44.200.242","192.168.10.162","UDP","118","3480  >  35920 Len=76"
"4127","30.056154","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4129","30.066367","104.44.200.242","192.168.10.162","UDP","553","3480  >  35920 Len=511"
"4130","30.067268","104.44.200.242","192.168.10.162","UDP","553","3480  >  35920 Len=511"
"4131","30.079900","104.44.200.242","192.168.10.162","UDP","1062","3480  >  35920 Len=1020"
"4132","30.079901","104.44.200.242","192.168.10.162","UDP","108","3480  >  35920 Len=66"
"4133","30.079901","104.44.200.242","192.168.10.162","UDP","661","3480  >  35920 Len=619"
"4135","30.091525","104.44.200.242","192.168.10.162","UDP","661","3480  >  35920 Len=619"
"4136","30.095763","104.44.200.242","192.168.10.162","UDP","289","3480  >  35920 Len=247"
"4138","30.117651","104.44.200.242","192.168.10.162","UDP","1061","3480  >  35920 Len=1019"
"4139","30.117652","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4140","30.119268","104.44.200.242","192.168.10.162","UDP","114","3480  >  35920 Len=72"
"4142","30.127266","104.44.200.242","192.168.10.162","UDP","1061","3480  >  35920 Len=1019"
"4143","30.128840","104.44.200.242","192.168.10.162","UDP","114","3480  >  35920 Len=72"
"4144","30.136369","104.44.200.242","192.168.10.162","UDP","493","3480  >  35920 Len=451"
"4165","30.362384","104.44.200.242","192.168.10.162","UDP","1077","3480  >  35920 Len=1035"
"4166","30.362385","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4167","30.362386","104.44.200.242","192.168.10.162","UDP","498","3480  >  35920 Len=456"
"4168","30.362387","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4169","30.362388","104.44.200.242","192.168.10.162","UDP","717","3480  >  35920 Len=675"
"4170","30.362393","104.44.200.242","192.168.10.162","UDP","709","3480  >  35920 Len=667"
"4171","30.362394","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4172","30.362395","104.44.200.242","192.168.10.162","UDP","174","3480  >  35920 Len=132"
"4173","30.362396","104.44.200.242","192.168.10.162","UDP","725","3480  >  35920 Len=683"
"4174","30.362397","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4175","30.362397","104.44.200.242","192.168.10.162","UDP","613","3480  >  35920 Len=571"
"4176","30.362399","104.44.200.242","192.168.10.162","UDP","1098","3480  >  35920 Len=1056"
"4177","30.362399","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4178","30.362400","104.44.200.242","192.168.10.162","UDP","277","3480  >  35920 Len=235"
"4179","30.362401","104.44.200.242","192.168.10.162","UDP","1114","3480  >  35920 Len=1072"
"4180","30.362402","104.44.200.242","192.168.10.162","UDP","108","3480  >  35920 Len=66"
"4181","30.362402","104.44.200.242","192.168.10.162","UDP","340","3480  >  35920 Len=298"
"4182","30.362404","104.44.200.242","192.168.10.162","UDP","792","3480  >  35920 Len=750"
"4183","30.362405","104.44.200.242","192.168.10.162","UDP","119","3480  >  35920 Len=77"
"4184","30.362405","104.44.200.242","192.168.10.162","UDP","791","3480  >  35920 Len=749"
"4185","30.362406","104.44.200.242","192.168.10.162","UDP","362","3480  >  35920 Len=320"
"4186","30.362408","104.44.200.242","192.168.10.162","UDP","115","3480  >  35920 Len=73"
"4187","30.363362","104.44.200.242","192.168.10.162","UDP","808","3480  >  35920 Len=766"
"4188","30.363364","104.44.200.242","192.168.10.162","STUN","146","Binding Request user: cTe7:D2bo"
"4189","30.363365","104.44.200.242","192.168.10.162","UDP","471","3480  >  35920 Len=429"
"4190","30.363366","104.44.200.242","192.168.10.162","UDP","121","3480  >  35920 Len=79"
"4191","30.363367","104.44.200.242","192.168.10.162","UDP","115","3480  >  35920 Len=73"
"4192","30.363367","104.44.200.242","192.168.10.162","UDP","721","3480  >  35920 Len=679"
"4193","30.363871","104.44.200.242","192.168.10.162","UDP","720","3480  >  35920 Len=678"
"4195","30.368652","104.44.200.242","192.168.10.162","UDP","503","3480  >  35920 Len=461"
"4196","30.382891","104.44.200.242","192.168.10.162","UDP","737","3480  >  35920 Len=695"
"4198","30.388780","104.44.200.242","192.168.10.162","UDP","363","3480  >  35920 Len=321"
"4199","30.391119","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4200","30.391120","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4201","30.393596","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4205","30.407600","104.44.200.242","192.168.10.162","UDP","856","3480  >  35920 Len=814"
"4206","30.418165","104.44.200.242","192.168.10.162","UDP","855","3480  >  35920 Len=813"
"4207","30.418166","104.44.200.242","192.168.10.162","UDP","511","3480  >  35920 Len=469"
"4208","30.418167","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4209","30.420279","104.44.200.242","192.168.10.162","UDP","872","3480  >  35920 Len=830"
"4210","30.421629","104.44.200.242","192.168.10.162","UDP","137","3480  >  35920 Len=95"
"4211","30.423731","104.44.200.242","192.168.10.162","UDP","107","3480  >  35920 Len=65"
"4215","30.464233","104.44.200.242","192.168.10.162","UDP","121","3480  >  35920 Len=79"
"4216","30.464234","104.44.200.242","192.168.10.162","UDP","86","3480  >  35920 Len=44"
"4217","30.465267","104.44.200.242","192.168.10.162","UDP","129","3480  >  35920 Len=87"
"4218","30.465268","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4221","30.478066","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4223","30.489021","104.44.200.242","192.168.10.162","UDP","100","3480  >  35920 Len=58"
"4225","30.500268","104.44.200.242","192.168.10.162","UDP","115","3480  >  35920 Len=73"
"4228","30.520292","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4230","30.530470","104.44.200.242","192.168.10.162","UDP","148","3480  >  35920 Len=106"
"4231","30.530471","104.44.200.242","192.168.10.162","UDP","84","3480  >  35920 Len=42"
"4232","30.530471","104.44.200.242","192.168.10.162","UDP","164","3480  >  35920 Len=122"
"4233","30.535373","104.44.200.242","192.168.10.162","UDP","114","3480  >  35920 Len=72"
"4236","30.563758","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4237","30.563758","104.44.200.242","192.168.10.162","UDP","100","3480  >  35920 Len=58"
"4240","30.579273","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4243","30.589224","104.44.200.242","192.168.10.162","UDP","418","3480  >  35920 Len=376"
"4244","30.589354","104.44.200.242","192.168.10.162","UDP","90","3480  >  35920 Len=48"
"4245","30.589988","104.44.200.242","192.168.10.162","UDP","434","3480  >  35920 Len=392"
"4246","30.590171","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4249","30.624875","104.44.200.242","192.168.10.162","UDP","107","3480  >  35920 Len=65"
"4251","30.638604","104.44.200.242","192.168.10.162","UDP","120","3480  >  35920 Len=78"
"4252","30.644713","104.44.200.242","192.168.10.162","UDP","117","3480  >  35920 Len=75"
"4254","30.655314","104.44.200.242","192.168.10.162","STUN","122","Binding Success Response XOR-MAPPED-ADDRESS: 88.201.137.108:1040"
"4255","30.655314","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4257","30.669324","104.44.200.242","192.168.10.162","UDP","351","3480  >  35920 Len=309"
"4258","30.669324","104.44.200.242","192.168.10.162","UDP","104","3480  >  35920 Len=62"
"4259","30.669324","104.44.200.242","192.168.10.162","UDP","367","3480  >  35920 Len=325"
"4260","30.676637","104.44.200.242","192.168.10.162","UDP","117","3480  >  35920 Len=75"
"4265","30.707893","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"4266","30.713936","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4267","30.713936","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4269","30.725454","104.44.200.242","192.168.10.162","UDP","333","3480  >  35920 Len=291"
"4270","30.725455","104.44.200.242","192.168.10.162","UDP","173","3480  >  35920 Len=131"
"4271","30.725639","104.44.200.242","192.168.10.162","UDP","349","3480  >  35920 Len=307"
"4272","30.725804","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4276","30.773499","104.44.200.242","192.168.10.162","UDP","102","3480  >  35920 Len=60"
"4277","30.773499","104.44.200.242","192.168.10.162","UDP","115","3480  >  35920 Len=73"
"4279","30.796203","104.44.200.242","192.168.10.162","UDP","121","3480  >  35920 Len=79"
"4280","30.797592","104.44.200.242","192.168.10.162","UDP","491","3480  >  35920 Len=449"
"4281","30.800022","104.44.200.242","192.168.10.162","UDP","269","3480  >  35920 Len=227"
"4282","30.801214","104.44.200.242","192.168.10.162","UDP","507","3480  >  35920 Len=465"
"4283","30.801214","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4284","30.802648","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4286","30.808140","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"4291","30.833172","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4295","30.866117","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4296","30.870422","104.44.200.242","192.168.10.162","UDP","1203","3480  >  35920 Len=1161"
"4297","30.870502","104.44.200.242","192.168.10.162","UDP","274","3480  >  35920 Len=232"
"4298","30.872127","104.44.200.242","192.168.10.162","UDP","1219","3480  >  35920 Len=1177"
"4299","30.872128","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4306","30.876891","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"4310","30.911082","104.44.200.242","192.168.10.162","UDP","114","3480  >  35920 Len=72"
"4311","30.918550","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4314","30.946677","104.44.200.242","192.168.10.162","UDP","1103","3480  >  35920 Len=1061"
"4315","30.949920","104.44.200.242","192.168.10.162","UDP","394","3480  >  35920 Len=352"
"4318","30.969003","104.44.200.242","192.168.10.162","UDP","1119","3480  >  35920 Len=1077"
"4319","30.969004","104.44.200.242","192.168.10.162","UDP","115","3480  >  35920 Len=73"
"4320","30.976292","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4321","30.977765","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4322","30.985490","104.44.200.242","192.168.10.162","UDP","116","3480  >  35920 Len=74"
"4323","30.985490","104.44.200.242","192.168.10.162","UDP","117","3480  >  35920 Len=75"
"4329","31.033101","104.44.200.242","192.168.10.162","UDP","1212","3480  >  35920 Len=1170"
"4330","31.033102","104.44.200.242","192.168.10.162","UDP","554","3480  >  35920 Len=512"
"4332","31.048707","104.44.200.242","192.168.10.162","UDP","1228","3480  >  35920 Len=1186"
"4333","31.048710","104.44.200.242","192.168.10.162","UDP","114","3480  >  35920 Len=72"
"4336","31.068398","104.44.200.242","192.168.10.162","UDP","148","3480  >  35920 Len=106"
"4337","31.068398","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4338","31.068398","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4342","31.079776","104.44.200.242","192.168.10.162","UDP","960","3480  >  35920 Len=918"
"4343","31.079777","104.44.200.242","192.168.10.162","UDP","960","3480  >  35920 Len=918"
"4345","31.086982","104.44.200.242","192.168.10.162","UDP","424","3480  >  35920 Len=382"
"4346","31.086982","104.44.200.242","192.168.10.162","UDP","80","3480  >  35920 Len=38"
"4348","31.097513","104.44.200.242","192.168.10.162","UDP","1256","3480  >  35920 Len=1214"
"4349","31.097514","104.44.200.242","192.168.10.162","UDP","424","3480  >  35920 Len=382"
"4350","31.097515","104.44.200.242","192.168.10.162","UDP","976","3480  >  35920 Len=934"
"4351","31.097515","104.44.200.242","192.168.10.162","UDP","118","3480  >  35920 Len=76"
"4352","31.097516","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4356","31.134371","104.44.200.242","192.168.10.162","UDP","200","3480  >  35920 Len=158"
"4360","31.148298","104.44.200.242","192.168.10.162","UDP","108","3480  >  35920 Len=66"
"4361","31.149610","104.44.200.242","192.168.10.162","UDP","1144","3480  >  35920 Len=1102"
"4362","31.153969","104.44.200.242","192.168.10.162","UDP","1143","3480  >  35920 Len=1101"
"4363","31.153971","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4364","31.154340","104.44.200.242","192.168.10.162","UDP","506","3480  >  35920 Len=464"
"4365","31.157085","104.44.200.242","192.168.10.162","UDP","506","3480  >  35920 Len=464"
"4366","31.157086","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4367","31.160849","104.44.200.242","192.168.10.162","UDP","1160","3480  >  35920 Len=1118"
"4368","31.160849","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4369","31.162693","104.44.200.242","192.168.10.162","UDP","315","3480  >  35920 Len=273"
"4375","31.205297","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4377","31.222724","104.44.200.242","192.168.10.162","UDP","732","3480  >  35920 Len=690"
"4380","31.228306","104.44.200.242","192.168.10.162","UDP","732","3480  >  35920 Len=690"
"4381","31.229967","104.44.200.242","192.168.10.162","UDP","335","3480  >  35920 Len=293"
"4382","31.236640","104.44.200.242","192.168.10.162","UDP","335","3480  >  35920 Len=293"
"4383","31.236641","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4384","31.236642","104.44.200.242","192.168.10.162","UDP","748","3480  >  35920 Len=706"
"4385","31.237234","104.44.200.242","192.168.10.162","UDP","188","3480  >  35920 Len=146"
"4386","31.237235","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4389","31.245237","104.44.200.242","192.168.10.162","UDP","122","3480  >  35920 Len=80"
"4392","31.283558","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4394","31.295921","104.44.200.242","192.168.10.162","UDP","853","3480  >  35920 Len=811"
"4395","31.295922","104.44.200.242","192.168.10.162","UDP","852","3480  >  35920 Len=810"
"4396","31.305242","104.44.200.242","192.168.10.162","UDP","422","3480  >  35920 Len=380"
"4397","31.305243","104.44.200.242","192.168.10.162","UDP","421","3480  >  35920 Len=379"
"4398","31.305243","104.44.200.242","192.168.10.162","UDP","869","3480  >  35920 Len=827"
"4399","31.305243","104.44.200.242","192.168.10.162","UDP","273","3480  >  35920 Len=231"
"4400","31.305244","104.44.200.242","192.168.10.162","UDP","108","3480  >  35920 Len=66"
"4402","31.314377","104.44.200.242","192.168.10.162","UDP","105","3480  >  35920 Len=63"
"4405","31.348695","104.44.200.242","192.168.10.162","UDP","910","3480  >  35920 Len=868"
"4406","31.356644","104.44.200.242","192.168.10.162","UDP","910","3480  >  35920 Len=868"
"4407","31.362063","104.44.200.242","192.168.10.162","UDP","909","3480  >  35920 Len=867"
"4408","31.362065","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4409","31.363350","104.44.200.242","192.168.10.162","UDP","617","3480  >  35920 Len=575"
"4411","31.367222","104.44.200.242","192.168.10.162","UDP","617","3480  >  35920 Len=575"
"4412","31.367222","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4416","31.375782","104.44.200.242","192.168.10.162","UDP","926","3480  >  35920 Len=884"
"4417","31.378682","104.44.200.242","192.168.10.162","UDP","517","3480  >  35920 Len=475"
"4418","31.378682","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4421","31.412646","104.44.200.242","192.168.10.162","UDP","108","3480  >  35920 Len=66"
"4422","31.412646","104.44.200.242","192.168.10.162","UDP","886","3480  >  35920 Len=844"
"4423","31.413815","104.44.200.242","192.168.10.162","UDP","885","3480  >  35920 Len=843"
"4424","31.416284","104.44.200.242","192.168.10.162","UDP","389","3480  >  35920 Len=347"
"4425","31.420183","104.44.200.242","192.168.10.162","UDP","388","3480  >  35920 Len=346"
"4426","31.421860","104.44.200.242","192.168.10.162","UDP","902","3480  >  35920 Len=860"
"4427","31.421860","104.44.200.242","192.168.10.162","UDP","119","3480  >  35920 Len=77"
"4428","31.422689","104.44.200.242","192.168.10.162","UDP","314","3480  >  35920 Len=272"
"4429","31.422911","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4436","31.502859","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4439","31.507444","104.44.200.242","192.168.10.162","UDP","826","3480  >  35920 Len=784"
"4440","31.508726","104.44.200.242","192.168.10.162","UDP","825","3480  >  35920 Len=783"
"4441","31.508726","104.44.200.242","192.168.10.162","UDP","385","3480  >  35920 Len=343"
"4442","31.508728","104.44.200.242","192.168.10.162","UDP","384","3480  >  35920 Len=342"
"4443","31.508728","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4444","31.508728","104.44.200.242","192.168.10.162","UDP","244","3480  >  35920 Len=202"
"4445","31.508729","104.44.200.242","192.168.10.162","UDP","842","3480  >  35920 Len=800"
"4446","31.508729","104.44.200.242","192.168.10.162","UDP","381","3480  >  35920 Len=339"
"4447","31.508729","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4448","31.508729","104.44.200.242","192.168.10.162","UDP","140","3480  >  35920 Len=98"
"4449","31.508730","104.44.200.242","192.168.10.162","UDP","117","3480  >  35920 Len=75"
"4452","31.553116","104.44.200.242","192.168.10.162","UDP","997","3480  >  35920 Len=955"
"4453","31.564393","104.44.200.242","192.168.10.162","UDP","996","3480  >  35920 Len=954"
"4454","31.564395","104.44.200.242","192.168.10.162","UDP","406","3480  >  35920 Len=364"
"4456","31.567264","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4457","31.567265","104.44.200.242","192.168.10.162","UDP","405","3480  >  35920 Len=363"
"4458","31.567265","104.44.200.242","192.168.10.162","UDP","1013","3480  >  35920 Len=971"
"4459","31.567265","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4460","31.567265","104.44.200.242","192.168.10.162","UDP","533","3480  >  35920 Len=491"
"4461","31.567266","104.44.200.242","192.168.10.162","UDP","121","3480  >  35920 Len=79"
"4468","31.635887","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4470","31.646688","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4471","31.653447","104.44.200.242","192.168.10.162","UDP","1067","3480  >  35920 Len=1025"
"4474","31.695790","104.44.200.242","192.168.10.162","UDP","1066","3480  >  35920 Len=1024"
"4475","31.695790","104.44.200.242","192.168.10.162","UDP","401","3480  >  35920 Len=359"
"4476","31.695790","104.44.200.242","192.168.10.162","UDP","400","3480  >  35920 Len=358"
"4477","31.696450","104.44.200.242","192.168.10.162","UDP","1083","3480  >  35920 Len=1041"
"4478","31.696450","104.44.200.242","192.168.10.162","UDP","108","3480  >  35920 Len=66"
"4479","31.696451","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4480","31.696451","104.44.200.242","192.168.10.162","UDP","334","3480  >  35920 Len=292"
"4481","31.696451","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
"4482","31.696451","104.44.200.242","192.168.10.162","UDP","1017","3480  >  35920 Len=975"
"4483","31.696453","104.44.200.242","192.168.10.162","UDP","1016","3480  >  35920 Len=974"
"4484","31.696453","104.44.200.242","192.168.10.162","UDP","384","3480  >  35920 Len=342"
"4485","31.696454","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"4486","31.696454","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"4487","31.696454","104.44.200.242","192.168.10.162","UDP","384","3480  >  35920 Len=342"
"4488","31.696778","104.44.200.242","192.168.10.162","UDP","1033","3480  >  35920 Len=991"
"4492","31.737597","104.44.200.242","192.168.10.162","UDP","485","3480  >  35920 Len=443"
"4493","31.737597","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"4495","31.748482","104.44.200.242","192.168.10.162","UDP","119","3480  >  35920 Len=77"
"4496","31.748483","104.44.200.242","192.168.10.162","UDP","887","3480  >  35920 Len=845"
"4497","31.749140","104.44.200.242","192.168.10.162","UDP","887","3480  >  35920 Len=845"
"4498","31.749140","104.44.200.242","192.168.10.162","UDP","116","3480  >  35920 Len=74"
"4499","31.749827","104.44.200.242","192.168.10.162","UDP","552","3480  >  35920 Len=510"
"4500","31.753546","104.44.200.242","192.168.10.162","UDP","903","3480  >  35920 Len=861"
"4502","31.757080","104.44.200.242","192.168.10.162","UDP","238","3480  >  35920 Len=196"
"4505","31.784920","104.44.200.242","192.168.10.162","UDP","115","3480  >  35920 Len=73"
"4506","31.784920","104.44.200.242","192.168.10.162","STUN","122","Binding Success Response XOR-MAPPED-ADDRESS: 88.201.137.108:1040"
"4509","31.804219","104.44.200.242","192.168.10.162","UDP","115","3480  >  35920 Len=73"
"4510","31.805598","104.44.200.242","192.168.10.162","UDP","699","3480  >  35920 Len=657"
"4511","31.806020","104.44.200.242","192.168.10.162","UDP","699","3480  >  35920 Len=657"
"4513","31.807380","104.44.200.242","192.168.10.162","UDP","499","3480  >  35920 Len=457"
"4515","31.817713","104.44.200.242","192.168.10.162","UDP","715","3480  >  35920 Len=673"
"4516","31.817716","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4519","31.854540","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4520","31.854542","104.44.200.242","192.168.10.162","UDP","237","3480  >  35920 Len=195"
"4521","31.857053","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"4523","31.872616","104.44.200.242","192.168.10.162","UDP","680","3480  >  35920 Len=638"
"4524","31.880206","104.44.200.242","192.168.10.162","UDP","680","3480  >  35920 Len=638"
"4525","31.880212","104.44.200.242","192.168.10.162","UDP","342","3480  >  35920 Len=300"
"4526","31.880556","104.44.200.242","192.168.10.162","UDP","342","3480  >  35920 Len=300"
"4527","31.883839","104.44.200.242","192.168.10.162","UDP","696","3480  >  35920 Len=654"
"4528","31.883839","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"4529","31.884603","104.44.200.242","192.168.10.162","UDP","272","3480  >  35920 Len=230"
"4535","31.929401","104.44.200.242","192.168.10.162","UDP","115","3480  >  35920 Len=73"
"4536","31.944982","104.44.200.242","192.168.10.162","UDP","113","3480  >  35920 Len=71"
