"No.","Time","Source","Destination","Protocol","Length","Info"
"326","11.243334","104.44.200.250","192.168.10.162","CLASSIC-STUN","139","Message: Data Indication"
"328","11.254250","104.44.200.250","192.168.10.162","CLASSIC-STUN","153","Message: Data Indication"
"350","11.569219","104.44.200.250","192.168.10.162","CLASSIC-STUN","150","Message: Data Indication"
"351","11.569352","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"355","11.632492","104.44.200.250","192.168.10.162","CLASSIC-STUN","150","Message: Data Indication"
"356","11.632492","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"357","11.633340","104.44.200.250","192.168.10.162","CLASSIC-STUN","144","Message: Data Indication"
"358","11.633559","104.44.200.250","192.168.10.162","CLASSIC-STUN","144","Message: Data Indication"
"359","11.633559","104.44.200.250","192.168.10.162","CLASSIC-STUN","149","Message: Data Indication"
"360","11.633559","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"361","11.633559","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"362","11.633559","104.44.200.250","192.168.10.162","CLASSIC-STUN","141","Message: Data Indication"
"363","11.633560","104.44.200.250","192.168.10.162","CLASSIC-STUN","141","Message: Data Indication"
"364","11.633736","104.44.200.250","192.168.10.162","CLASSIC-STUN","148","Message: Data Indication"
"365","11.633737","104.44.200.250","192.168.10.162","CLASSIC-STUN","140","Message: Data Indication"
"366","11.633738","104.44.200.250","192.168.10.162","CLASSIC-STUN","144","Message: Data Indication"
"367","11.633738","104.44.200.250","192.168.10.162","CLASSIC-STUN","138","Message: Data Indication"
"368","11.633738","104.44.200.250","192.168.10.162","CLASSIC-STUN","150","Message: Data Indication"
"369","11.635565","104.44.200.250","192.168.10.162","CLASSIC-STUN","141","Message: Data Indication"
"370","11.635566","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"371","11.643967","104.44.200.250","192.168.10.162","CLASSIC-STUN","139","Message: Data Indication"
"373","11.652930","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"375","11.684984","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"377","11.694311","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"380","11.728376","104.44.200.250","192.168.10.162","CLASSIC-STUN","153","Message: Data Indication"
"381","11.745240","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"385","11.790313","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"386","11.790314","104.44.200.250","192.168.10.162","CLASSIC-STUN","141","Message: Data Indication"
"392","11.884577","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"397","11.955395","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"398","11.955397","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"399","11.955398","104.44.200.250","192.168.10.162","CLASSIC-STUN","137","Message: Data Indication"
"402","11.989306","104.44.200.250","192.168.10.162","CLASSIC-STUN","148","Message: Data Indication"
"403","11.989306","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"404","11.989306","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"405","11.989306","104.44.200.250","192.168.10.162","CLASSIC-STUN","148","Message: Data Indication"
"406","11.989307","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"407","11.989307","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"438","12.354274","104.44.200.250","192.168.10.162","CLASSIC-STUN","140","Message: Data Indication"
"439","12.354275","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"444","12.414147","104.44.200.250","192.168.10.162","CLASSIC-STUN","153","Message: Data Indication"
